"search-number","evaluation","evals-requested-so-far","power-plants*","initial-population*","birth-rate*","polluting-rate*","planting-rate*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","1","32","6","40","0.19","0","0","""748234276""","2718","2718","2718","0","2718"
"1","2","32","6","40","0.19","0","0","""209236804""","4056","4056","4056","0","4056"
"1","3","32","7","90","0.06","3","0","""-1825638548""","244","244","244","0","244"
"1","4","32","7","90","0.06","3","0","""733911041""","247","247","247","0","247"
"1","5","32","8","80","0.05","0","0.1","""-1569460746""","207","207","207","0","207"
"1","6","32","8","80","0.05","0","0.1","""1293780703""","157","157","157","0","157"
"1","7","32","13","100","0.12","0","0.02","""1986106558""","913","913","913","0","913"
"1","8","32","13","100","0.12","0","0.02","""-320634454""","1184","1184","1184","0","1184"
"1","9","32","13","90","0.17","3","0.09","""1714498411""","4214","4214","4214","0","4214"
"1","10","32","13","90","0.17","3","0.09","""28828378""","4342","4342","4342","0","4342"
"1","11","32","13","60","0.08","3","0.01","""275227661""","185","185","185","0","185"
"1","12","32","13","60","0.08","3","0.01","""210261040""","188","188","188","0","188"
"1","13","32","7","70","0.17","0","0.04","""1018743196""","2600","2600","2600","0","2600"
"1","14","32","7","70","0.17","0","0.04","""1000443424""","4037","4037","4037","0","4037"
"1","15","32","10","90","0.04","0","0.05","""1243487242""","137","137","137","0","137"
"1","16","32","10","90","0.04","0","0.05","""-63370220""","180","180","180","0","180"
"1","17","32","4","10","0.04","3","0.02","""1648796177""","17","17","17","0","17"
"1","18","32","4","10","0.04","3","0.02","""-140158429""","17","17","17","0","17"
"1","19","32","12","80","0.02","4","0","""1151946707""","100","100","100","0","100"
"1","20","32","12","80","0.02","4","0","""1205498884""","103","103","103","0","103"
"1","21","32","15","0","0.02","4","0.06","""-1834081968""","0","0","0","0","0"
"1","22","32","15","0","0.02","4","0.06","""-1222691925""","0","0","0","0","0"
"1","23","32","14","0","0.04","3","0.02","""919471630""","0","0","0","0","0"
"1","24","32","14","0","0.04","3","0.02","""970906946""","0","0","0","0","0"
"1","25","32","6","20","0.09","5","0","""834794524""","55","55","55","0","55"
"1","26","32","6","20","0.09","5","0","""453831462""","57","57","57","0","57"
"1","27","32","7","100","0.05","5","0.09","""1047604620""","185","185","185","0","185"
"1","28","32","7","100","0.05","5","0.09","""-1971363336""","194","194","194","0","194"
"1","29","32","6","10","0.13","2","0.01","""-1817114902""","152","152","152","0","152"
"1","30","32","6","10","0.13","2","0.01","""128281981""","135","135","135","0","135"
"1","31","32","15","40","0.03","1","0","""1755383230""","52","52","52","0","52"
"1","32","32","15","40","0.03","1","0","""-2098973962""","53","53","53","0","53"
"1","33","34","12","20","0","2","0.07","""-1496036499""","20","20","20","0","20"
"1","34","34","12","20","0","2","0.07","""-1316189838""","20","20","20","0","20"
"1","35","36","11","40","0.08","1","0.02","""1718510128""","132","132","132","0","132"
"1","36","36","11","40","0.08","1","0.02","""875060199""","168","168","168","0","168"
"1","37","38","17","90","0.14","1","0","""-2134061061""","1666","1666","1666","0","1666"
"1","38","38","17","90","0.14","1","0","""916799549""","1962","1962","1962","0","1962"
"1","39","40","13","70","0.13","0","0.06","""-1595639681""","1178","1178","1178","0","1178"
"1","40","40","13","70","0.13","0","0.06","""-919643694""","924","924","924","0","924"
"1","41","42","7","40","0","2","0.03","""1843181666""","40","40","40","0","40"
"1","42","42","7","40","0","2","0.03","""1436147158""","40","40","40","0","40"
"1","43","44","10","0","0.17","0","0.04","""-1565345721""","0","0","0","0","0"
"1","44","44","10","0","0.17","0","0.04","""1930756594""","0","0","0","0","0"
"1","45","46","15","40","0.1","0","0.02","""-152700627""","205","205","205","0","205"
"1","46","46","15","40","0.1","0","0.02","""-129647993""","238","238","238","0","238"
"1","47","48","0","50","0.13","5","0.02","""1630486626""","633","633","633","0","633"
"1","48","48","0","50","0.13","5","0.02","""-701054674""","836","836","836","0","836"
"1","49","50","3","20","0.12","1","0","""-945283754""","137","137","137","0","137"
"1","50","50","3","20","0.12","1","0","""-347314478""","145","145","145","0","145"
