"search-number","evaluation","power-plants*","initial-population*","birth-rate*","polluting-rate*","planting-rate*","fitness","num-replicates","best-fitness-so-far"
"1","2","6","40","0.19","0","0","3387","2","3387"
"1","4","7","90","0.06","3","0","245.5","2","3387"
"1","6","8","80","0.05","0","0.1","182","2","3387"
"1","8","13","100","0.12","0","0.02","1048.5","2","3387"
"1","10","13","90","0.17","3","0.09","4278","2","4278"
"1","12","13","60","0.08","3","0.01","186.5","2","4278"
"1","14","7","70","0.17","0","0.04","3318.5","2","4278"
"1","16","10","90","0.04","0","0.05","158.5","2","4278"
"1","18","4","10","0.04","3","0.02","17","2","4278"
"1","20","12","80","0.02","4","0","101.5","2","4278"
"1","22","15","0","0.02","4","0.06","0","2","4278"
"1","24","14","0","0.04","3","0.02","0","2","4278"
"1","26","6","20","0.09","5","0","56","2","4278"
"1","28","7","100","0.05","5","0.09","189.5","2","4278"
"1","30","6","10","0.13","2","0.01","143.5","2","4278"
"1","32","15","40","0.03","1","0","52.5","2","4278"
"1","34","12","20","0","2","0.07","20","2","4278"
"1","36","11","40","0.08","1","0.02","150","2","4278"
"1","38","17","90","0.14","1","0","1814","2","4278"
"1","40","13","70","0.13","0","0.06","1051","2","4278"
"1","42","7","40","0","2","0.03","40","2","4278"
"1","44","10","0","0.17","0","0.04","0","2","4278"
"1","46","15","40","0.1","0","0.02","221.5","2","4278"
"1","48","0","50","0.13","5","0.02","734.5","2","4278"
"1","50","3","20","0.12","1","0","141","2","4278"
